Tahun,Kabupaten/Kota,jumlah (mm)
2019,Kab. Cilacap,3947
2019,Kab. Banyumas,1273
2019,Kab. Purbalingga,1273
2019,Kab. Banjarnegara,1273
2019,Kab. Kebumen,1273
2019,Kab. Purworejo,1273
2019,Kab. Wonosobo,1273
2019,Kab. Magelang,1273
2019,Kab. Boyolali,1273
2019,Kab. Klaten,1273
2019,Kab. Sukoharjo,1273
2019,Kab. Wonogiri,1273
2019,Kab. Karanganyar,1273
2019,Kab. Sragen,1273
2019,Kab. Grobogan,1273
2019,Kab. Blora,1273
2019,Kab. Rembang,1273
2019,Kab. Pati,1273
2019,Kab. Kudus,1273
2019,Kab. Jepara,1273
2019,Kab. Demak,1273
2019,Kab. Semarang,1273
2019,Kab. Temanggung,1273
2019,Kab. Kendal,1273
2019,Kab. Batang,1273
2019,Kab. Pekalongan,1273
2019,Kab. Pemalang,1273
2019,Kab. Tegal,1273
2019,Kab. Brebes,1273
2019,Kota Magelang,1273
2019,Kota Surakarta,1273
2019,Kota Salatiga,1273
2019,Kota Semarang,1273
2019,Kota Pekalongan,1273
2019,Kota Tegal,1273
2020,Kab. Cilacap,4496
2020,Kab. Banyumas,2513
2020,Kab. Purbalingga,2513
2020,Kab. Banjarnegara,3010
2020,Kab. Kebumen,4479
2020,Kab. Purworejo,2513
2020,Kab. Wonosobo,3459
2020,Kab. Magelang,2044
2020,Kab. Boyolali,1777
2020,Kab. Klaten,2513
2020,Kab. Sukoharjo,2513
2020,Kab. Wonogiri,2513
2020,Kab. Karanganyar,2513
2020,Kab. Sragen,2551
2020,Kab. Grobogan,2513
2020,Kab. Blora,2513
2020,Kab. Rembang,2513
2020,Kab. Pati,2513
2020,Kab. Kudus,3639
2020,Kab. Jepara,2513
2020,Kab. Demak,2513
2020,Kab. Semarang,3297
2020,Kab. Temanggung,2513
2020,Kab. Kendal,2513
2020,Kab. Batang,2513
2020,Kab. Pekalongan,2513
2020,Kab. Pemalang,2513
2020,Kab. Tegal,2463
2020,Kab. Brebes,2513
2020,Kota Magelang,2513
2020,Kota Surakarta,1777
2020,Kota Salatiga,2513
2020,Kota Semarang,2513
2020,Kota Pekalongan,2513
2020,Kota Tegal,2463
2021,Kab. Cilacap,2729
2021,Kab. Banyumas,2479
2021,Kab. Purbalingga,2479
2021,Kab. Banjarnegara,2479
2021,Kab. Kebumen,2479
2021,Kab. Purworejo,2479
2021,Kab. Wonosobo,2479
2021,Kab. Magelang,2479
2021,Kab. Boyolali,2479
2021,Kab. Klaten,2479
2021,Kab. Sukoharjo,2479
2021,Kab. Wonogiri,2479
2021,Kab. Karanganyar,2479
2021,Kab. Sragen,2479
2021,Kab. Grobogan,2479
2021,Kab. Blora,2479
2021,Kab. Rembang,2479
2021,Kab. Pati,2479
2021,Kab. Kudus,2479
2021,Kab. Jepara,2479
2021,Kab. Demak,2479
2021,Kab. Semarang,2479
2021,Kab. Temanggung,2479
2021,Kab. Kendal,2479
2021,Kab. Batang,2479
2021,Kab. Pekalongan,2479
2021,Kab. Pemalang,2479
2021,Kab. Tegal,2479
2021,Kab. Brebes,2479
2021,Kota Magelang,2479
2021,Kota Surakarta,2479
2021,Kota Salatiga,2479
2021,Kota Semarang,2479
2021,Kota Pekalongan,2479
2021,Kota Tegal,2479
2022,Kab. Cilacap,2664
2022,Kab. Banyumas,2664
2022,Kab. Purbalingga,2664
2022,Kab. Banjarnegara,2664
2022,Kab. Kebumen,2664
2022,Kab. Purworejo,2664
2022,Kab. Wonosobo,2664
2022,Kab. Magelang,2664
2022,Kab. Boyolali,2664
2022,Kab. Klaten,2664
2022,Kab. Sukoharjo,2664
2022,Kab. Wonogiri,2664
2022,Kab. Karanganyar,2664
2022,Kab. Sragen,2664
2022,Kab. Grobogan,2664
2022,Kab. Blora,2664
2022,Kab. Rembang,2664
2022,Kab. Pati,2664
2022,Kab. Kudus,2664
2022,Kab. Jepara,2664
2022,Kab. Demak,2664
2022,Kab. Semarang,2664
2022,Kab. Temanggung,2664
2022,Kab. Kendal,2664
2022,Kab. Batang,2664
2022,Kab. Pekalongan,2664
2022,Kab. Pemalang,2664
2022,Kab. Tegal,2664
2022,Kab. Brebes,2664
2022,Kota Magelang,2664
2022,Kota Surakarta,2664
2022,Kota Salatiga,2664
2022,Kota Semarang,2664
2022,Kota Pekalongan,2664
2022,Kota Tegal,2664
2023,Kab. Cilacap,2100
2023,Kab. Banyumas,2800
2023,Kab. Purbalingga,2100
2023,Kab. Banjarnegara,2100
2023,Kab. Kebumen,2100
2023,Kab. Purworejo,2100
2023,Kab. Wonosobo,2100
2023,Kab. Magelang,2100
2023,Kab. Boyolali,2100
2023,Kab. Klaten,2100
2023,Kab. Sukoharjo,2100
2023,Kab. Wonogiri,2100
2023,Kab. Karanganyar,2100
2023,Kab. Sragen,2100
2023,Kab. Grobogan,2100
2023,Kab. Blora,2100
2023,Kab. Rembang,2100
2023,Kab. Pati,2100
2023,Kab. Kudus,2100
2023,Kab. Jepara,2100
2023,Kab. Demak,2100
2023,Kab. Semarang,2100
2023,Kab. Temanggung,2100
2023,Kab. Kendal,2100
2023,Kab. Batang,2100
2023,Kab. Pekalongan,2100
2023,Kab. Pemalang,2100
2023,Kab. Tegal,2100
2023,Kab. Brebes,2100
2023,Kota Magelang,2100
2023,Kota Surakarta,2100
2023,Kota Salatiga,2100
2023,Kota Semarang,2100
2023,Kota Pekalongan,2100
2023,Kota Tegal,2100
